country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,5.5,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,4.2,,,,,,,
Costa Rica,,,,,,,,,,,,,,,3.3,,,,,5.2,,,3.2,3.8,3.6,4,3.9,4,4,3.8,4.2,4.3,3.9,3.9,3.5,3.5,3.7,4,4.2,4.1,4.3,4.3,4,4.4,4.2,4.2,4.1,4.2,4.3,4.2,4.4,4.3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,4.9,6.9,6.3,6.8,,,,6,,,6.6,,,6.4,,,,6.1,,,,,,5.1,,,,,,,5.7,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,6.9,6.9,6.9,6.9,7.1,7.1,7.3,7.3,7.4,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,8.9,8.8,8.7,8.6,8.5,8.6,8.4,8,7.7,7.6,7.8,8.2,8.4,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,10.4,,,9.8,,,,,,9.5,,9,9.3,9.3,9.7,9.8,9.6,9.4,9.3,9.6,9.4,9.7,9.7,10,10.2,
Denmark,,,,,,,,,,,,,,,,,,,,,9.4,,,,,9.8,,,10.7,,,,,10.4,,,9.8,9.9,9.8,9.8,9.8,9.8,9.2,9.3,9.4,9.3,9.1,9.1,9.4,9.2,9.1,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,4.3,4.9,,,,5.4,
Dominican Republic,,,,,,,,,,,,,,,,,,,,3.9,,,4.2,,,4.3,,,,4.3,4,,,3.7,4.1,3.8,3.8,3.9,4.1,3.9,4.4,4.6,4.5,4.6,4.7,4.9,4.8,5.1,5,4.9,5.9,5.8
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,2.6,3,,,3.3,3.2,3.2,3.7,3.5,3.8,4.1,4.2,4.4,4.3,4.5,4.8,4.6,4.7,4.7,4.6
Egypt,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,9.5,,,,8.9,,,,,9,,,,9.2,,9.4,,9.8,,,9.1,,9,
