country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,11.3,10.5,11,10.2,14.4,,13.4,13,16.9,15.9,13.7,14.1,15,13.8,15.2,17.5,15.7,17.1,14,11.8,10.5,9.57,8.34,7.99,7.64,8.48,7.54,7.11,7.74,6.25
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,
Iraq,,,,,,,,,,,,,,,,,,7.24,,,,,5.78,,,,,,,
Ireland,,,,,,,,,5.45,4.29,2.99,3.01,3.64,3.85,3.9,3.86,4.17,4.89,7.06,14.7,17.3,18.6,19,17.2,14.7,12.4,10.1,8.43,6.92,5.95
Israel,,,,,,,8.22,,9.86,10.6,9.93,11.1,12.1,12.7,12.5,11,10.4,8.78,7.17,8.98,7.88,6.62,7.11,6.57,6.25,5.58,5.04,4.6,,
Italy,,,,,,,,,12.3,11.8,10.6,9.21,8.72,8.13,7.03,6.94,6.19,5.59,6.12,7.24,7.88,7.81,10,11.4,11.9,11.4,11.1,10.5,10.1,9.44
Japan,,,,,,,,,,,,,,,,,,,,6.03,5.91,,5.08,4.71,,4.02,3.7,3.39,3.1,
Kazakhstan,,,,,,,,,,,,,,,,,,,,6.22,5.29,4.89,4.98,5.37,,,,5.3,,
Kenya,,,,,,,,,,12.6,,,,,,,12.3,,,,,,,,,,4.17,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,8.94,10.9,11.6,,,,,8.79,8.36,7.83,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,6.47,,
Latvia,,,,,,,,,15.2,15.1,14.8,13.7,13.8,11.4,12.5,10.4,6.25,5.78,7.75,18.9,21.1,18.2,17.6,13.1,11.7,10.8,11.3,10.2,8.49,7.09
Lebanon,,,,,,,,,,,,,,,,,,9.71,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,4.48,,26.6,,4.91,4.91,8.5,,,
