country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Rep.",,,17.2,,11,,8.29,,4.83,4.57,12.7,13.7,13.1,12.6,11.3,,,,,,,,,,,,,,,,,,,,,48.2,44.7,,,,13.8,,10.7,,,,,,,
Costa Rica,14.5,,12,10.6,,9.55,7.37,,8.41,9.89,9.99,9.61,11.5,,,14.4,13.5,13.4,,13.2,13.2,12.7,11,10.6,11.6,10.5,8.53,,,,,,,,,,,,,,,0.038,0.0571,0.486,2.34,1.88,1.45,3.25,0.119,
Cote d'Ivoire,,,,,,,,49.1,,,,,,,,,,,,,,50.9,50.6,,,,45.3,44.3,,42.5,43.5,39.4,39.3,43.9,,,,,,44.1,,,,31.6,27,23.3,13,11.2,6.18,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7.42,6.09,2.48,0.317,0.266,,0.957,0.875,0.986,2.58,8.35,4.96,2.76,1.15,1.38,1.22,1.15,1.59,1.36,,
Cuba,,,6.14,4.86,4.02,,,,,1.34,2.23,4.93,6.43,6.62,8.24,9.95,9.54,7.9,7.99,7.77,8.07,8.37,6.07,5.2,2.93,3.11,1.2,1.41,1.36,0.62,0.437,0.427,0.174,1.47,1.85,2.82,3.77,2.9,2.99,1.46,0.834,1.26,2,2.02,4.93,5.92,5.47,4.31,2.16,
Cyprus,,20.3,21.6,21.7,22.4,28.8,31,31.9,31.1,30.4,31.3,28.8,32.1,31.9,31.6,30.8,26.2,22.1,20.7,20.5,21.2,20.8,22.6,2.37,3.08,3.79,3.88,3.72,,0.0953,1.93,2.05,1.11,0.803,0.763,0.0251,0.0631,0.202,0.415,0.373,0.0345,0.153,1.31,1.8,2.27,1.4,1.74,1.34,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,,,,,,,,0.045,0.653,0.0575,0.00364,0.693,0.432,1.01,0.678,0.191,0.331,0.323,,
Denmark,,,,,,,,,,,,4.53,3.7,2,1.03,1.22,1.32,1.14,1.02,2.2,2.31,1.75,2.57,3.04,1.31,1.72,1.85,,0.557,0.212,0.0705,0.153,0.139,,1.74,1.43,1.1,0.493,0.649,0.926,1.2,0.895,0.566,0.253,0.502,0.0595,0.0102,0.202,,
Djibouti,,,,,,,,,,,,,,,,74.9,73.3,73.1,73.2,73.3,72.8,72.7,71.5,73.8,72.9,71.9,71.9,73,,73.1,73,70.3,68.7,,64.7,63.1,60.1,56.1,52,52,,41.3,,41.1,32.5,39.3,42.6,40,37.9,33
Dominica,,,,,,1.48,7.12,7.48,,13.2,14,15.7,12.3,,,,,,,,,,,,,,,,,,1.65,7.19,5.56,7.89,9.64,12.1,13.2,16.9,16.1,8.64,,1.17,,,,,0.956,,,
Dominican Republic,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,12.2,,5.72,9.12,14.4,13.2,14.3,8.21,11.9,4.09,4.55,4.7,5.93,6.17,7.96,4.47,4.58,5.31,5.67,
Ecuador,,20.5,,20,19,19.7,19.2,16.1,14.2,11.1,12.4,,,,,,,,,,,,,,8.02,7.48,6.25,3.74,3.3,3.53,2.93,1.58,0.808,0.874,,2.1,1.5,0.906,5.47,0.939,0.762,0.87,1.18,1.06,1.04,0.986,1.07,1.14,1.31,
Egypt,,35,34.6,34.8,,,,,33.1,,,,,,,,,,,,,,,,12.6,,,10.7,,12.8,11.1,10.3,9.41,8.46,7.6,7.41,10.1,5.63,,4.08,2.26,3.86,0.895,,0.414,,0.513,0.553,0.652,
El Salvador,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,7.4,6.61,4.83,4.34,,,,,,,,,,,6.84,8.97,10.4,14.6,13.7,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,34.5,27.8,30.2,32.3,,,,,52.9,54.1,54.9,53.9,52.6,,,55.3,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,70.9,,67.1,65.7,63.4,62.6,,54.2,46.6,43.5,35.1,26.9,21,15.8,14.4,20.6,25,30.2,34.5,31.7,29.7,33.7,35.8,39.2,,47,47.3,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,13,9.39,,0.778,0.83,1.02,1.09,1.15,0.557,1.27,1.41,1.44,0.0885,0.438,0.849,0.571,0.0248,0.0457,1.25,2.03,2.46,2.63,2.43,,
