country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,23.5,,32.9,33.2,35,36.8,38.9,43.1,34.3,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,18.8,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,3.22,,,,2.07,2.06,,2.81
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,10.8,,11.2,,,12.2,13.5,14,16.1,16.5,16.4,16.8,,22.1
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,,,,,,,5.28,,,,,,,13.7
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03,,,,12.5,12.1,14.9,14.4,14.5,15.5,14.4,,16.3,14.8,14.4,16.3,15.2,15.8,16.4
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,15.6,16.3,17,17.9,18.9,33.1,33.5,33.1,,,33.5
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,19.6,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,1.81,,1.97,
Myanmar,,,,0.2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,26.1,,27.8,27.5,28.2,28.8,28.6,29.3,29.9,30.3,31,31.5,,33
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,30.2,,,,,36.5,35.7,,31.1,30.4,32.3,,
Niger,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,27.6,28.2,28.8,29.9,30.4,31.2,32.2,,,35.7,36.5,37.2,38,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
Pakistan,,,3.4,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,3.92,6.3,,5.98,6.67,6.97,7.37,7.54,7.99,8.75,,8.62,8.65,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,18.4,19,19.4,21.9,22,23.6,24.8,22.5,22.7,23.5,23.7,,25.9
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,21.4,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,3.74,8.7,10.4,9.81,,,10.9,13.7,13.6,14.5,14,,15.2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,16.1,16.9,18.2,18.2,18.8,20.9,21.2,22.2,21.3,21.1,20.9,,,21.9
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,,,,,,,,24.2,,26.8,,,26.6,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,17.5,18.8,20.3,21.1,21.8,22.8,23.9,,25,,
Portugal,1.64,,,,,,,,,,,3.47,,,,,,,,,,7.67,,,,,,,6.87,7.12,7.26,7.57,7.7,8.95,10.2,10.4,11.1,11.2,11.6,12,12.7,14.1,15.2,15.9,17.5,18.2,19,19.3,18.7
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
Romania,,,,,,,,,,,,,,,,,,,,,,,6.93,,,,,,,,,,8.98,,,,,10.4,11.1,11.4,11.9,12.8,13.3,13.5,13.5,14.5,14.6,14.7,
Russia,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,55.4,,,,,,,,61.9,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,3.62,,3.32,,,,4.13
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,
