country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,,1530000,1630000,1730000,1780000,1800000,1800000,1750000,1690000,1630000,1550000,1470000,1410000,1360000,1280000,1170000,1080000,1000000,937000,900000,886000,888000,918000,942000,983000,1010000,1070000,1090000,1080000,1070000,1050000,1010000,972000,925000,906000,895000,890000,883000,871000,868000,853000,828000,803000,772000,763000,746000,735000,734000,741000,
Cyprus,,69200,66000,64200,63400,56600,56600,55400,55200,54300,50600,48700,46100,46200,46700,47400,51000,54300,56500,58700,60800,63000,63500,64300,64900,64900,64700,64800,,64200,64000,63600,63700,62900,61700,61200,59700,57800,56800,55800,54800,54400,54300,54100,53100,53800,54500,55900,,
Czech Republic,,672000,689000,698000,700000,692000,677000,672000,683000,700000,,647000,683000,712000,721000,709000,695000,669000,634000,600000,567000,546000,538000,529000,539000,539000,542000,659000,663000,655000,645000,631000,604000,567000,534000,503000,473000,463000,460000,460000,463000,468000,477000,492000,511000,535000,557000,576000,,
Denmark,,443000,452000,467000,482000,487000,491000,472000,462000,448000,443000,435000,432000,432000,427000,415000,403000,392000,380000,363000,350000,340000,327000,324000,327000,329000,337000,,361000,372000,384000,396000,415000,,420000,414000,416000,416000,410000,407000,403000,471000,471000,470000,467000,469000,472000,473000,,
Djibouti,,6420,6970,7780,8520,9310,9760,10200,12800,14100,15200,16800,18900,20400,21800,22500,25200,27100,28800,29800,31400,31700,33300,30600,33000,35000,36200,36900,37200,38200,38200,42400,44300,46400,48700,50700,53700,56700,56400,55500,,61000,63600,63400,64300,62900,61800,61800,63000,68700
Dominica,,17800,17800,17500,17000,17700,17200,17600,17400,16500,15600,14800,14800,,13300,,12300,12800,12600,,12700,12800,12100,12800,12800,12600,,,,12000,11800,11400,11000,10500,9870,9440,8910,8640,8370,8230,8140,8140,8140,7850,7700,7540,7320,,,
Dominican Republic,,764000,824000,833000,837000,868000,911000,935000,947000,1030000,1070000,1110000,1150000,1090000,1120000,1210000,1220000,,,,,1070000,1090000,1120000,1120000,1120000,1170000,1170000,1270000,1320000,1360000,,1400000,1370000,1280000,1290000,1230000,1360000,1310000,1330000,1320000,1310000,1280000,1290000,1270000,1310000,1290000,1250000,1230000,
Ecuador,,984000,1020000,1070000,1130000,1160000,1220000,1260000,1310000,1400000,1450000,1530000,1590000,1630000,1680000,1700000,1740000,1790000,1820000,1830000,1840000,1850000,2020000,1990000,1750000,1780000,1810000,1890000,1880000,1900000,1930000,1960000,1980000,1990000,1990000,2000000,2010000,2040000,2010000,2100000,2110000,2130000,2090000,2070000,2090000,2000000,1950000,1930000,1930000,
Egypt,,3790000,3930000,4050000,3990000,4150000,4180000,4220000,4290000,4380000,4540000,4660000,4880000,5180000,5510000,5860000,6210000,6610000,7030000,7340000,6580000,6960000,6540000,6790000,7730000,7310000,8190000,8240000,,8090000,7950000,7860000,7860000,7870000,7930000,9560000,9790000,9990000,,10400000,10500000,10300000,10900000,11100000,11100000,,11800000,12200000,12600000,
El Salvador,510000,535000,542000,588000,614000,641000,668000,690000,718000,749000,696000,586000,667000,701000,730000,,,838000,853000,833000,,809000,829000,834000,,839000,903000,934000,926000,940000,949000,968000,988000,1020000,1050000,1050000,1040000,1080000,994000,964000,940000,901000,859000,817000,777000,741000,711000,678000,663000,
