country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,0.541,0.6,0.6,0.6,0.6,0.6,0.6,0.665,0.665,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.695,0.735,0.735,0.669,0.669,0.65,0.606,0.606,0.625,0.545
Guatemala,0.144,0.144,0.116,0.0638,0.0638,0.0638,0.0638,0.0131,0.0638,0.0538,0.108,0.206,0.354,0.354,0.354,0.365,0.343,0.343,0.354,0.377,0.39,0.4,0.432,0.464,0.464,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.493,0.486,0.486,0.486,0.486,0.458,0.458,0.445,0.466,0.488,0.425
Guinea,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.227,0.185,0.203,0.203,0.203,0.203,0.24,0.349,0.352,0.352,0.352,0.342,0.328,0.328,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.246,0.246,0.383,0.419,0.407,0.431,0.431,0.431,0.431,0.341,0.321
Guinea-Bissau,0.366,0.366,0.366,0.366,0.366,0.36,0.354,0.354,0.354,0.354,0.354,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.384,0.388,0.417,0.417,0.376,0.376,0.395,0.4,0.4,0.345,0.345,0.362,0.362,0.357,0.357,0.357,0.357,0.374,0.374,0.341,0.374,0.378,0.374,0.374,0.312,0.326
Haiti,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.119,0.119,0.119,0.238,0.231,0.231,0.238,0.3,0.142,0.142,0.166,0.486,0.486,0.486,0.49,0.49,0.392,0.426,0.426,0.384,0.377,0.312,0.374,0.404,0.404,0.404,0.404,0.38,0.38,0.325,0.325,0.325,0.43,0.312,0.256
Honduras,0.2,0.2,0.2,0.2,0.2,0.208,0.278,0.355,0.365,0.332,0.332,0.352,0.352,0.367,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.407,0.407,0.39,0.39,0.39,0.39,0.39,0.39,0.399,0.399,0.399,0.363,0.339,0.355,0.362,0.429,0.429,0.429,0.451,0.413,0.451
Hungary,0.505,0.505,0.505,0.505,0.505,0.521,0.521,0.521,0.521,0.533,0.533,0.533,0.533,0.533,0.583,0.689,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.732,0.732,0.732,0.732,0.732,0.732,0.709,0.709,0.654,0.693,0.693,0.693,0.601,0.598,0.598,0.572,0.572,0.572,0.572,0.572,0.526
India,0.282,0.282,0.402,0.488,0.488,0.471,0.471,0.471,0.471,0.472,0.489,0.489,0.489,0.489,0.489,0.489,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.521,0.521,0.521,0.528,0.515,0.492,0.492,0.482,0.487
Indonesia,0.257,0.257,0.248,0.219,0.219,0.209,0.209,0.209,0.209,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.213,0.229,0.229,0.229,0.229,0.229,0.316,0.454,0.498,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.498,0.488,0.453,0.494,0.494,0.554,0.554,0.554,0.566
Iran,0.492,0.492,0.492,0.492,0.494,0.363,0.3,0.3,0.3,0.321,0.321,0.321,0.321,0.321,0.352,0.42,0.42,0.434,0.434,0.444,0.457,0.469,0.495,0.524,0.524,0.51,0.51,0.51,0.51,0.48,0.48,0.48,0.48,0.48,0.42,0.415,0.437,0.404,0.455,0.455,0.455,0.455,0.457,0.434
Iraq,0.309,0.309,0.309,0.309,0.309,0.287,0.287,0.287,0.287,0.264,0.284,0.284,0.284,0.284,0.284,0.284,0.2,0.2,0.2,0.2,0.216,0.216,0.2,0.2,0.2,0.222,0.222,0.222,0.293,0.295,0.299,0.295,0.295,0.306,0.33,0.33,0.33,0.33,0.256,0.256,0.299,0.371,0.306,0.351
Ireland,0.656,0.656,0.656,0.656,0.656,0.656,0.727,0.727,0.727,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.726,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.766,0.766,0.766,0.766,0.795,0.795,0.822,0.857
Israel,0.677,0.677,0.677,0.707,0.707,0.707,0.707,0.707,0.707,0.693,0.707,0.707,0.707,0.707,0.707,0.707,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.695,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.59,0.59
Italy,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.619,0.619,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.647,0.625,0.647,0.647,0.647,0.647,0.647,0.647,0.619,0.619,0.619,0.619,0.619,0.632,0.632,0.611,0.611,0.627,0.627,0.627,0.652,0.652,0.652,0.652,0.63,0.6
Jamaica,0.526,0.526,0.526,0.526,0.526,0.475,0.475,0.475,0.475,0.461,0.475,0.475,0.475,0.475,0.475,0.543,0.543,0.543,0.543,0.543,0.565,0.565,0.565,0.565,0.565,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.598,0.598,0.598,0.598,0.57,0.553
Japan,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.804,0.804,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.822,0.761,0.75,0.75,0.75,0.75,0.738
Jordan,0.524,0.524,0.524,0.524,0.524,0.544,0.544,0.544,0.544,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.563,0.563,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.508,0.508,0.508,0.508,0.508,0.514,0.514,0.514,0.554,0.554,0.554,0.593,0.577,0.56
Kazakhstan,,,,,,,,,,,,,,,,,0.303,0.318,0.329,0.329,0.303,0.303,0.303,0.303,0.314,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.364,0.364,0.364,0.353,0.353,0.353,0.353,0.364,0.362
Kenya,0.313,0.313,0.313,0.313,0.313,0.299,0.299,0.299,0.299,0.266,0.28,0.286,0.286,0.286,0.286,0.315,0.315,0.315,0.329,0.329,0.329,0.329,0.321,0.333,0.333,0.368,0.368,0.42,0.42,0.42,0.44,0.44,0.44,0.44,0.451,0.477,0.477,0.477,0.45,0.435,0.435,0.446,0.43,0.46
Kuwait,0.5,0.5,0.435,0.435,0.435,0.435,0.464,0.464,0.464,0.466,0.466,0.466,0.456,0.441,0.441,0.398,0.372,0.451,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.498,0.496
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.467,0.438,0.438,0.385,0.374,0.349,0.344,0.344,0.344,0.344,0.297,0.276,0.276,0.276,0.282,0.282,0.274,0.266,0.313,0.383,0.388,0.372,0.437,0.437,0.438,0.458,0.477,0.487
Lao,0.258,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.282,0.263,0.263,0.263,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.191,0.191,0.191,0.221,0.221,0.243,0.243,0.265,0.299
Latvia,,,,,,,,,,,,,,,,,0.606,0.606,0.613,0.613,0.613,0.613,0.613,0.613,0.606,0.627,0.627,0.627,0.627,0.649,0.649,0.649,0.649,0.663,0.663,0.706,0.706,0.732,0.698,0.711,0.711,0.692,0.676,0.676
