country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.605,0.605,0.605,0.605,0.605,0.618,0.618,0.618,0.618,0.653,0.688,0.688,0.688,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.642,0.642,0.642,0.642,0.642,0.651,0.651,0.651,0.651,0.673,0.673,0.636,0.636,0.636,0.62,0.609,0.602
"Congo, Dem. Rep.",0.249,0.249,0.249,0.281,0.281,0.292,0.292,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.31,0.31,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.00428,0.425,0.477,0.443,0.473,0.466,0.466,0.481,0.492,0.492,0.479,0.433,0.437,0.431,0.419,0.4,0.39
"Congo, Rep.",0.261,0.261,0.0529,0.0529,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.365,0.531,0.574,0.574,0.574,0.574,0.606,0,0.314,0.314,0.314,0.314,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.319,0.319,0.319,0.331,0.388,0.388,0.388,0.388,0.381,0.379
Costa Rica,0.662,0.662,0.662,0.662,0.698,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.773,0.824,0.824,0.824,0.824,0.842,0.842,0.842,0.842,0.84,0.84,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.815,0.83,0.853,0.853,0.834,0.86
Cote d'Ivoire,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.258,0.327,0.319,0.319,0.36,0.405,0.405,0.405,0.405,0.405,0.00428,0.0543,0.467,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.506,0.513,0.524,0.524,0.524,0.524,0.519,0.515
Croatia,,,,,,,,,,,,,,,,,0.451,0.451,0.451,0.451,0.451,0.451,0.472,0.472,0.49,0.599,0.599,0.599,0.599,0.562,0.61,0.584,0.586,0.597,0.646,0.669,0.663,0.668,0.646,0.635,0.656,0.656,0.671,0.63
Cuba,0,0.298,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.273,0.273,0.273,0.261,0.256,0.256,0.256,0.286,0.286,0.286,0.286,0.286,0.338
Cyprus,0.639,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.687,0.687,0.687,0.687,0.684,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.647,0.647,0.647,0.647,0.689,0.689
Czech Republic,0.292,0.292,0.292,0.292,0.292,0.3,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.322,0.721,0.739,0.777,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.761,0.739,0.771,0.791,0.731,0.74,0.706,0.706,0.706,0.706,0.663,0.674
Denmark,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.891,0.868,0.868,0.832,0.832,0.829,0.829
Dominican Republic,0.265,0.265,0.265,0.379,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.363,0.363,0.363,0.363,0.383,0.383,0.383,0.383,0.383,0.383,0.385,0.385,0.385,0.385,0.416,0.401,0.401,0.401,0.401,0.424,0.424,0.442,0.442,0.442,0.45,0.45,0.466,0.391,0.391,0.363,0.363,0.363,0.391
Ecuador,0,0,0,0,0.0545,0.697,0.697,0.697,0.697,0.676,0.676,0.676,0.676,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.697,0.675,0.675,0.675,0.675,0.675,0.675,0.657,0.521,0.445,0.441,0.441,0.441,0.441,0.41,0.41,0.41,0.41,0.466,0.509
Egypt,0.476,0.476,0.476,0.476,0.476,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.0494,0.00428,0.0529,0.0529,0.0529,0.447,0.447,0.465
El Salvador,0.231,0.231,0.226,0.226,0.00428,0.00428,0.00428,0.00428,0.00428,0.0543,0.427,0.427,0.427,0.427,0.423,0.431,0.431,0.433,0.433,0.454,0.485,0.485,0.485,0.485,0.485,0.485,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.529,0.565,0.565,0.565,0.555,0.555,0.555,0.559,0.567,0.557
Equatorial Guinea,0.213,0.213,0.213,0.213,0,0,0,0,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.324,0.324,0.324,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.345,0.345,0.345,0.345,0.345,0.34
Eritrea,,,,,,,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.267,0.267,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.215,0.215,0.215,0.215,0.188,0.188,0.188,0.228,0.235,0.235
Estonia,,,,,,,,,,,,,,,,,0.0545,0.762,0.794,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.791,0.791,0.791,0.807,0.807,0.807,0.789,0.789,0.789,0.758,0.788,0.843
