country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.741,0.741,0.738,0.738,0.738,0.759,0.759,0.759,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.709,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.711,0.711,0.706,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.691,0.688,0.65
Cote d'Ivoire,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.498,0.501,0.501,0.501,0.501,0.501,0.483,0.486,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.534,0.534,0.531,0.517,0.517,0.517,0.503,0.503,0.503,0.503,0.503,0.503,0.484,0.475,0.42,0.42,0.42,0.42,0.404,0.451
Croatia,,,,,,,,,,,,,,,,,0.375,0.369,0.365,0.369,0.369,0.369,0.379,0.379,0.384,0.541,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.555,0.555,0.569,0.579,0.579,0.528,0.528,0.528,0.528,0.532,0.541
Cuba,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.178,0.178,0.153,0.153,0.153,0.179,0.179,0.179,0.239,0.239,0.217
Cyprus,0.576,0.584,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.556,0.556,0.556,0.556,0.566,0.573,0.576,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.591,0.631,0.631,0.631,0.631,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.673,0.673,0.673,0.673,0.664,0.599
Czech Republic,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.204,0.204,0.204,0.204,0.204,0.204,0.717,0.717,0.717,0.682,0.682,0.686,0.686,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.717,0.717,0.684,0.703,0.726,0.704,0.665,0.665,0.665,0.647,0.627
Denmark,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.893,0.893,0.866,0.866
Dominican Republic,0.251,0.251,0.251,0.445,0.499,0.499,0.499,0.499,0.44,0.438,0.438,0.438,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.336,0.336,0.334,0.374,0.374,0.374,0.363,0.359,0.355,0.355,0.332,0.332,0.332,0.332,0.332,0.332,0.367,0.367,0.367,0.352,0.291,0.291,0.291,0.291,0.291
Ecuador,0.279,0.279,0.279,0.279,0.337,0.369,0.369,0.369,0.369,0.373,0.348,0.348,0.348,0.348,0.373,0.373,0.373,0.373,0.348,0.348,0.348,0.348,0.373,0.369,0.369,0.345,0.345,0.345,0.353,0.353,0.364,0.373,0.383,0.3,0.267,0.235,0.235,0.235,0.225,0.225,0.225,0.225,0.328,0.487
Egypt,0.444,0.444,0.444,0.444,0.444,0.449,0.449,0.462,0.462,0.455,0.46,0.46,0.46,0.455,0.455,0.455,0.455,0.432,0.432,0.436,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.447,0.444,0.444,0.444,0.444,0.444,0.417,0.398,0.398,0.427,0.427,0.427,0.427
