country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,,47.1,48.2,63.7,62.3,58.3,59.3,58.5,61.3,64.2,57.2,63.4,68.1,62.6,82.5,72,71.6,69,53.3,,61.9,,,93.2,98.6,90.9,91.7,92.9,,88.6,91.3,91.5,101,95.9,98.7,99.8,99.8,86.6,99.7,101,94.7,92.9,95.6,96.6,101,97.6,98.3,98.9,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,107,99,102,,,,,,92,91.6,91.8,92,99.2,94.1,95,94.7,86.6,88.6,92.2,96.8,98.1,98.9,97,95.5,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,97.1,97.8,99.7,96.4,97.6,95.8,97.6,99.5,99.4,,
Djibouti,,,,4.01,4.24,4.54,3.15,,,,,,,,,,7.77,8.7,8.48,8.82,,,8.69,7.49,,,10.4,11.2,,13.9,14.5,,17.3,,,19,20.6,21.6,22.6,32.1,,50.2,47.8,43.1,42.2,44.6,43.3,47.1,49.2,49.9
Dominica,,,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,106,102,92.4,85.9,81.3,79.2,82.2,78,80,82.3,74,87.2,90.7,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,57.5,60.8,,64.1,,72.4,75.3,,80.5,85.7,82.2,83.5,76.5,75.8,77.9,77.7,78.4,84.6,85.4,89.3,
Ecuador,,23.8,25.1,,,31.8,35.7,37.4,40.5,42.9,,46.2,48.6,49.8,48.9,51.6,,,,,,,,,48.6,,,,,56.7,57.1,56.8,57.2,57.3,58.6,60.7,62.4,64.3,,79.6,84.9,82.4,84,91.3,98.2,101,100,97.8,96.8,
Egypt,,,,,,34.9,37.1,41.6,48.4,46.6,47.5,,,48,,,,,,,,,,,69.2,,,,,,,,84.5,80.3,78.2,,,,,71.6,,,,77.7,77.2,,83.5,82.4,84.6,
El Salvador,15.5,17.3,20.5,24.2,29.5,33.6,35.9,37.6,,,,32.8,36.9,39,39.6,,,37.3,39.9,41.8,,44.1,45.3,47.7,,53.9,53.9,,,,,63.3,67.9,72.7,,73.7,70.9,70.1,70.4,72.2,77.7,81,82.7,80.7,80.8,83.1,79.6,77.8,77.4,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,19.7,,,,,,26.9,28.8,,,24.2,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,19.3,23.7,26.1,25.1,,37.2,37.3,35.4,39.9,37.3,39,,43.6,46.8,48.7,55.1,58.3,,,,,52.4,,47.2,51.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,94.6,,,91.3,90,90.1,94,,100,105,107,,104,98.9,97.7,97.5,101,105,105,107,108,105,,
Eswatini,16.2,15.9,18.3,21.5,26,27,29,33.6,35.1,35.3,36.4,35.9,37.3,37.5,36.4,35,32.2,32.5,31.7,36.3,33.3,38.2,41.6,39,39.2,38.8,37.3,,38.4,34.2,33.8,34.7,37.4,35.4,39.3,41.7,47.2,49.5,,49.3,52.6,51.8,52,55.3,53.1,53.2,62.7,67.4,,
Ethiopia,,,,,,,,,,,,,,,,,,17.5,19,,,,,,11.8,11.3,10.8,,,8.31,,,,,,19.2,,,29.4,27.8,28.5,,25.6,,29.2,29.5,,,,
Fiji,,,41.2,49.7,56,,,68.2,,66.2,65.4,63.5,,62.7,63.9,61.8,58.5,,,,,,,,,,,,,,,,,90.5,91.4,,,,92.7,89.1,,97.6,96.4,101,,102,103,,,
Finland,,,,,,,,,,,,,,,,,,105,106,104,111,113,114,109,104,,,,,,,,,,104,103,,99.9,,96.4,97.8,98.7,97.9,98.7,98.2,100,99.8,99.5,,
France,,,,,,,,69,69.5,71.1,72.1,,61.3,61.5,,64.7,66.6,70.2,,80.2,82.6,85.5,90.1,92.5,83.6,84.8,85.2,,,,,,,,,89.9,98.3,97.3,99.5,97.7,96.6,97.2,98.7,97.3,97.2,96.1,98.5,99.9,,
Gabon,,10.2,11.6,13.4,16.7,,,,,,17.4,16.5,,14.9,16,16.4,16.4,15.7,15.8,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,10.5,,11.6,12.3,11.7,14.1,14.3,14.7,15.3,16.5,17.9,19.8,21.6,21.5,,,,,,,,,,,,38.1,40.2,39.5,38.6,48,54.1,58.7,57.8,54.6,49.5,51.9,52.1,56.3,58.1,58.8,59.2,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,75.8,74.9,79.7,,88.5,91.3,91.3,92.2,90.1,92.6,106,107,106,97.4,93.2,99.6,,103,105,98,102,103,103,102,
Germany,,,,,,,,,,,,,,,,,,,,,,,,72.7,74.7,74.8,76.5,77.4,,,,,,,79.2,81.8,,85.9,83.7,,,,,,,,,,,
Ghana,,46.9,48.1,,49.4,48,,,,,,,,,,,,,,41.8,,55.4,59.5,,,,,,,52.7,53.4,49.5,53.5,50.7,52.2,55.3,,,63.4,69.7,,64.4,63.3,66.3,65.6,74.1,,73.5,78,78.2
Greece,,49,48.8,54,53.7,56.2,59.1,61.9,63.5,67.5,72.7,,80.7,80.7,77.7,80.8,82.6,85.7,86.2,88.5,84.4,84.8,83.4,,,,,,,,,,,,,90.1,86.5,95.1,,,98.7,95.5,95.7,92.6,89.2,94,92.5,94.8,,
Grenada,,,,,,,,,,,,,,50.8,,,,,,,,,,83.5,,,,,,,,,97.6,98.4,,89.7,,85.6,90.8,109,,,,,107,98.4,103,105,107,
Guatemala,,7.86,,,,10.6,12.8,,,17.7,17.8,,,,,,,,,,,,,,,,,,,26.9,29.6,32.8,36.6,,40,41.6,45.4,47.1,49.2,51.2,55.6,59.1,58.7,56.8,58.4,61.7,62.6,56.9,56.4,
Guinea,,,,,,,,,,,11.7,8.59,,,,8.91,7.55,6.99,5.65,6.33,6.94,8.1,7.92,8.46,10.7,,,,9.63,,11.3,12.4,,16.4,21.2,22.9,24.6,30.2,,34,35.3,31,35.8,36.3,35.4,,,,,
Guinea-Bissau,,,,,,,1.35,2.09,3.29,2.39,,2.72,5.39,2.57,7.53,6.31,,3.53,,4.26,,,,,,,,,,,13.2,,,,,,,,,,36.8,,,,,,,,,
Guyana,,50.2,44.2,45.7,45.5,,49.6,,76.3,73,73.6,78.6,74,63.7,60.1,,,74.2,,,,82,74.2,73.1,,,73.4,74.9,,77.6,92.7,78.5,,,,,,,70.8,75.7,79.1,,,,,,,,,
Haiti,,,,,,,,7.32,8.63,10.1,10.8,12.2,12.5,14.2,,18,15.9,17.5,17.5,18.5,18.6,18.8,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,,,,,,43.5,,47.1,,,,,42.9,36.8,46.7,,45.8,,,
Hungary,,85.8,80.8,80.7,82.6,84.4,84.8,90.1,95.8,96.4,94,95.1,99.7,95.4,93.6,89.9,89.1,90,98.1,108,99.6,92.5,84.8,80.5,,,,91.5,,,,,,,,,,,,,,,,92.9,92.1,93.8,93.5,93.7,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,96.5,93.4,90.2,92,101,112,106,108,97.6,,96.4,93.5,92.9,96.7,,,,,,,
India,,,,,,,,,,,,,,,,,,42.3,43.5,43.8,,,,,,,,,,,,,53.3,56.4,,,62.5,,68.1,,,76.3,,80.8,85.5,85.4,85.9,85,84.5,
Indonesia,,12.8,,,,,,,,,,,,,36.2,38.8,41,,49.9,,,,,,,51.9,,,,,,,69.1,72.5,73.6,69.5,70.4,78.2,74.9,82.3,85.6,89.2,82.7,81.4,,91.6,93.9,90,,
Iran,,,,,,,,,,,,,,,40.2,43.5,45.2,45.3,48.7,49.5,55.1,52.5,,62.7,68.1,,,,,,77,74,73.4,82.8,,,85.4,,87.4,89.6,85.8,88.4,91.9,,,,89.3,90.2,,
Iraq,,17.5,21.3,22.2,21.9,28.9,30,30.6,35.4,37.9,37.3,,,34,,36,35.4,32.6,34.9,31.3,,,,28.6,,,,,,25.6,28.6,,,,48.7,,,48.4,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,97,95.8,93.8,95.8,97,97,98,98.3,97.9,99.3,98.5,98.5,97.8,98.7,99.9,100,,,101,98.9,99.4,100,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,101,105,102,98.3,101,97.1,95.4,99.3,97.2,99.2,102,101,107,103,103,,
Italy,,71.2,74.7,79.6,81.7,83.8,86.5,88.4,94.4,93.3,92.8,91.1,89.5,91.5,91.2,92.6,93.3,94.3,96,96.5,96.8,97.3,98,98.7,95.4,96.6,98.9,98.9,,98,,98.3,103,102,104,104,105,102,99.3,99.5,101,104,103,103,104,100,98.9,99,,
