country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ghana,,4.22,4.62,,3.8,4.88,5.83,6.1,,2.31,2.71,1.81,1.9,,,,3.35,3.31,3.19,,,,,,,,,,,4.11,,5.35,,,7.54,7.42,5.26,5.52,5.76,5.32,5.54,8.14,7.92,4.61,4.49,4.51,4.49,3.62,3.99
Greece,1.55,1.3,,1.11,1.34,1.46,1.45,1.49,1.69,,,1.69,1.69,1.69,1.81,,1.83,1.83,1.87,2.02,2.05,1.93,,,,,,,2.89,3.03,3.23,3.36,3.42,3.43,3.67,3.96,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,,,3.17,
Guatemala,1.86,2.03,,,,,1.63,,,,,,,,,,,,,,,,,1.67,1.44,1.6,1.56,,,,,,,,,,2.98,3.04,3.18,,2.8,2.92,2.96,2.84,2.94,2.96,2.83,2.8,2.93
Guinea,,,,,,,,,,,,,,,,,,,,,,2.02,2.01,2.09,,,,,,2.36,2.59,2.08,2.59,2.37,2.21,1.85,,,1.58,2.21,2.55,2.29,1.83,2.63,2.42,2.52,2.54,2.42,2.57
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,1.86,1.86,2,2.13,,,,,
Guyana,4.33,,,,,,,7.09,,9.38,,,,8.25,7.23,,,,,,,,,,3.72,3.61,,,,8.56,8.48,8.4,8.37,6.96,5.51,8.14,5.09,3.75,,3.3,3.64,3.59,3.18,,5.85,5.21,6.06,6.23,5.89
Haiti,,,,,,,,,,,,1.39,1.08,1.02,0.986,0.969,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,3.02,3.16,2.45,2.69,2.78
Honduras,,,,,,,,,2.02,2.01,1.94,,,,,,,,,,,,,,2.51,2.62,,,,,,,,,,,,,,,,,,5.87,7.09,6.41,,,6.08
Hungary,,,,,,,,,,,,,,,,,,,,,,5.88,6.08,5.92,5.84,4.85,4.33,,4.4,4.56,4.86,4.92,5.17,5.79,5.33,5.33,5.31,5.15,4.98,4.96,4.77,4.6,4.17,4.2,4.63,4.57,4.71,,
Iceland,,,,,,,,,,,,,,,,,,,,,4.25,,,5.13,4.75,4.77,5.21,,6.79,6.44,6.45,6.73,7.32,7.25,7.16,7.36,7.3,6.99,7.1,7.18,6.98,6.82,7.6,7.49,7.69,7.53,7.46,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,3.57,4.42,4.32,,,3.61,3.35,3.19,3.14,,,3.28,3.38,3.8,3.87,3.84,,,,,
Indonesia,,,2.79,,,,,,,,,,,,,,,,,0.871,,,,,0.999,1,1.08,1.07,,,,2.46,2.65,3.22,2.75,2.87,,3.04,2.9,3.53,2.81,3.19,3.41,3.36,3.29,3.58,,,
