country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,99.6,,,,,,,,,,,99.3,99.3,99.3,99.3,99.3,99.3,
Slovenia,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,,,,,,,,,100,94.3,95,95,95.2,95.6,95.4,96,96.9,97.1,97.6,98.2,97.6,97.8,
South Africa,31.1,,,,,,,,,,28.1,,,,,28.9,,,,,,,,,,,,,,,,55.6,61.4,64,64.4,65.4,66.4,67.3,68,71.9,72.2,73.1,75.3,,76.6,77.2,,,
South Korea,27.6,,,,,35.6,,,,,45.8,,,,,,,,,,67.3,,,,,71.9,,,,,77,,,,,80.5,,,,77.9,82.9,,,,,85.7,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,,,,,,
Spain,9.41,,,,,,,,,,,20.4,,,,,24.6,,,,,34.2,,,,,,,,,,,,,59.3,62.5,63.8,64.7,65.6,66.5,67.4,68.8,69.9,,73.7,74.8,75.8,,77.7
Sri Lanka,,,,,,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,74.8,,,,,,,73.9,74,,,,,,,81.6,82.3,82.9
St. Kitts and Nevis,6.8,,,,,,,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,5.7,,,,,,,,,,8.07,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,46.7,,,45.9,,,,,
St. Vincent and the Grenadines,6,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,,,61.8,,,,,,
Sweden,43.3,,,,48.8,,,,,58.4,,,,,,,64.1,65.6,67.1,68.6,70.4,71.8,74.1,75.6,76.9,78.1,,,,,,,,,88.4,89.1,89.8,90.4,85.8,86.4,87.1,87.7,88.3,88.9,89.5,90,90.5,91.1,
Switzerland,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,95.8,95.9,96.1,,97,97.1,96.9,,97.1
Syria,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,34.4,32.8,34.1,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,92.4,,,,,,,,,,,,,,,,,94.5,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,,,,,,,,11,,,,,,
Thailand,5.5,,,,,,,,,,9.82,,,,,,,,,,,,,,,,,,,,,,,,33.2,,32.4,,,,38.7,,,41.4,,,45.1,,
Togo,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,18.3,,,,,,,
Tonga,,,,,,,,,,,,,,,,,54.9,,,,,,,,,,74.1,,,,,,,,,,69.6,,,,,88,,,,,,,
Trinidad and Tobago,15.2,,,,,,,,,,26.7,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,59.8,59.6,,67.5,,,,,,,
Tunisia,,,,,,7.6,,,,,10.7,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,37.1,,39.3,40.5,39.8,,,,44.6,,
Turkey,,,,,,9.1,,,,,12.3,,,,,15.4,,,,,,,,,,,,,,,,,,,29,30.6,31.7,32.3,34.9,36.4,46.6,49.7,51.1,52.7,55,56.4,58.9,60.9,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,90.8,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11.5,,,,,,23.6,,28.8,,24,,,,,,
Ukraine,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,70.7,79,82.9
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.8,99.9,99.8,99.8,99.9,,,99.7,
United States,,,,,,,,,,,92.7,,,,,,,,,,,,,,,,,,,,,,,,93.7,93.7,94.2,,94.5,94.5,94.8,94.9,95,95.2,95.3,95.3,95.6,,96
Uruguay,,,,,,23.7,,,,,,,,,,37.3,,,,,,,,,,,42.3,,,,,,,59.3,,,47.1,,51.2,49.8,49.5,51.2,52.5,52.3,53.4,54.1,54.9,56,56.8
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.9,99.9,99.9,,99.9
Vanuatu,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,16.8,,,,,,,,,,29.3,,,,,,,,,23.8,,,,,,,,,,,,,,,,45.9,50.9,52.6,53.8,,65.4,,,,69.6,74.4,,
Vietnam,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,
Zambia,,,,,,,,,,,13.2,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,46,,,,,,,,,,60.8,,58.8,,,64.9,
