country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,7.96,8.31,8.75,9.78,12.3,,11.8,10.4,13.1,12.7,10.4,12.9,10.1,13.6,14.4,11.3,9.83,13.2,12.4,8.98,9.88,8.3,5.53,5.21,4.96,5.44,4.95,4.32,5.31,4.38
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
Iraq,,,,,,,,,,,,,,,,,,8.14,,,,,8.86,,,,,,,
Ireland,,,,,,,,,3.45,2.21,1.75,1.66,2.25,2.69,2.33,2.45,2.66,2.77,3.79,7.3,8.08,8.15,7.87,7.38,6.9,5.64,5.03,4.05,3.81,3.22
Israel,,,,,,,4.79,,5.85,6.2,5.22,5.73,6.67,6.71,6.21,5.19,4.46,3.9,3.8,5.23,4.39,4.01,3.98,3.85,3.65,3.35,2.92,2.76,,
Italy,,,,,,,,,7.21,7.08,6.06,5.48,5.51,5.55,4.97,6.06,5.15,4.38,4.53,5.4,5.66,5.32,6.58,7.2,7.82,7.1,6.75,6.37,5.92,5.7
Japan,,,,,,,,,,,,,4.25,4.17,,3.48,3.34,3.22,3.22,3.88,3.99,,3.49,3.4,,2.72,2.59,2.32,2.3,
Kazakhstan,,,,,,,,,,,,,,,,,,,,4.99,4.33,4.08,3.92,3.71,,,,3.49,,
Kenya,,,,,,,,,,11.3,,,,,,,9.09,,,,,,,,,,7.82,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,5.69,46,31.5,,,,,6.41,5.62,7.47,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,6.9,,
Latvia,,,,,,,,,7.07,6.29,7.18,5.82,6.57,6.81,4.33,4.84,4.1,3.71,4.08,7.87,10.6,7.14,6.42,5.93,5.56,4.94,4.29,3.9,3.66,3.62
Lebanon,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,3.64,,,,4.55,4.55,8.09,,,
Lithuania,,,,,,,,2.15,8.38,8.74,9.29,7.29,6.67,6.45,6.56,3.99,2.7,2.06,2.91,6.01,7.65,6.17,5.59,5.07,4.2,3.68,2.91,2.9,2.8,2.9
Luxembourg,,,,,,,,,,1.12,1.2,1.42,1.72,4.29,3.91,3.51,3.08,3.23,2.47,4.18,3.75,3.62,3.6,3.88,3.91,4.73,3.98,3.85,4.25,3.64
Madagascar,,,,,,,,,,,,,,7.99,,8.42,,,,,,,2.29,,,8.45,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,14.1,,
Malaysia,,,,,,,,,,,,,,,,,,,3.92,3.29,3.23,,,,,3.58,4.05,,,
Maldives,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,3.53,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,12.3,19.6,16.4,18.5,19.5,18.8,
Malta,,,,,,,,,,,2.99,1.11,1.63,3.7,,2.73,2.58,2.24,1.28,2.54,1.71,1.75,2.12,2.39,2.6,1.97,1.69,1.98,1.9,2.21
Mauritania,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,17.3,,
