country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,0.54,0.54,0.525,0.525,0.5,0.44,0.435,0.435,0.435,0.444,0.444,0.425,0.425,0.429,0.429,0.429,0.429,0.432,0.432,0.432,0.432,0.421,0.421,0.421,0.421,0.413,0.413,0.413,0.413,0.419,0.427,0.421,0.427,0.419,0.431,0.41,0.41,0.417,0.422,0.422,0.43,0.43,0.462,0.452
Colombia,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.488,0.488,0.488,0.488,0.483,0.48,0.48,0.483,0.483,0.483,0.483,0.488,0.488,0.488,0.483,0.483,0.483,0.488,0.497,0.505,0.499,0.479,0.479,0.479,0.485,0.475,0.485
"Congo, Dem. Rep.",0.193,0.193,0.193,0.193,0.193,0.136,0.136,0.136,0.136,0.127,0.127,0.127,0.127,0.127,0.127,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.203,0.203,0.203,0.203,0.185,0.185,0.185,0.157,0.157,0.135,0.135,0.114,0.0947
"Congo, Rep.",0.262,0.262,0.262,0.256,0.22,0.22,0.22,0.241,0.241,0.241,0.249,0.249,0.249,0.249,0.249,0.232,0.373,0.403,0.421,0.421,0.421,0.421,0.253,0.254,0.254,0.254,0.254,0.253,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.242,0.372,0.372,0.372,0.372,0.372,0.372
Costa Rica,0.613,0.613,0.613,0.613,0.613,0.633,0.633,0.633,0.633,0.64,0.64,0.64,0.64,0.64,0.64,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.654,0.645,0.645,0.645,0.645,0.637,0.639,0.639,0.639,0.633,0.633,0.633,0.619,0.653,0.649,0.649,0.633,0.619
Cote d'Ivoire,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.283,0.288,0.288,0.288,0.288,0.288,0.403,0.403,0.407,0.394,0.291,0.291,0.289,0.282,0.282,0.278,0.32,0.325,0.297,0.3,0.295,0.289,0.293,0.289,0.295,0.299,0.299,0.421,0.423,0.437,0.437,0.435,0.435,0.449,0.546
Croatia,,,,,,,,,,,,,,,,,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.364,0.363,0.559,0.566,0.566,0.558,0.44,0.435,0.435,0.438,0.438,0.511,0.534,0.539,0.534,0.56,0.56,0.564,0.531,0.507,0.512
Cuba,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.397,0.397,0.397,0.397,0.397,0.391,0.397,0.313,0.313,0.313,0.313,0.313,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.313,0.306,0.298,0.298,0.289,0.351,0.323,0.335
Cyprus,0.626,0.647,0.647,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.656,0.659,0.659,0.659,0.659,0.659,0.656,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.656,0.656,0.656,0.627,0.627,0.627,0.627,0.613,0.567
Czech Republic,0.391,0.391,0.391,0.391,0.391,0.417,0.417,0.417,0.417,0.425,0.425,0.425,0.425,0.425,0.425,0.534,0.536,0.536,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.546,0.542,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.548,0.548,0.548,0.56,0.583,0.588,0.588,0.542,0.551
