country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Finland,,,,,,,,,,,,,,,,,,,,,33,,,,33.6,,,,34.4,,,,,36.9,,,37.2,37.4,37.2,37.4,37.6,37.2,36.9,37,37.1,36.7,36.6,36.4,36.7,36.6,36.9,
France,,,,,,,,,,,,42.3,,,,,,43.5,,,,,39.9,,,,,40.5,,,,,,39.4,,,39.8,39.2,38.5,38.3,40.9,41.2,40.8,41.8,41.4,41.3,40.9,40.6,40.9,40.2,40,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,44.4,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,,,,,52.8,,,,,,,49.8,,,,,43.6,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,46.1,46.6,45.9,46.2,45.8,43.9,43.2,42.6,43.8,43.5,44.6,45,44.7,45.5,45.7,45.3,44.9,44.3,43.4,43.7,44.5,43.2
Germany,,,,,,,,,,,,,,,,,,,,,,,,,38,,,37.8,37.6,,,37.2,,37.7,39.1,38.6,38.8,39.1,40.5,39.8,39.9,39.6,39,38.8,39.1,,39.5,,39.7,39.6,,
Ghana,,,,,,,,,,,,,,,,,,,,,42.7,43.4,,,45.6,,,,,,,46.2,,,,,,,48.6,,,,,,,48.3,,,,48.6,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,41.1,,,40,40.8,41.7,42,41.1,40.9,40.9,41,41,42.1,42.2,41.8,41.8,41.3,41.1,
Guatemala,,,,,,,,,,,,,,,,,,,,62,,,62.9,,,,,,,,,,,59.1,,,,,,58.9,,,,,,,,53.6,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,50.2,,,52,,,,,,,,49.4,,,,,46.3,,,,,41.5,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,43.2,,,,,,,,56.7,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,63.3,61.2,56.7,56.9,58,59.3,59.8,59.6,57.2,60.8,59,,59.1,59.4,61.7,61.8,62.9,60.8,60,59.2,55.4,57.1,60.2,59.9,56.7,55.1,54,55,54.6,56.1
Hungary,,,,,,,,,,,,,,,,,,,,,32.4,,35.6,,38.2,,37.9,41.1,,,,,39,,,,,38.4,42.2,37.1,36.7,36.4,35.9,37.7,37.6,38.6,39.4,38.7,38.4,38.4,38.5,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,37.7,38.5,39.5,38.9,40.8,38.1,36,36.2,36.3,35.3,37.3,36.5,,,
India,,,,,,,,,,,,,,,,,41,,,,41.6,,,,,,41.9,,,,,,,,,,,45.6,,,,,46.1,,46.2,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,41.1,,,39.9,,,40.7,,,41.4,,,43.4,,40.5,40.6,39.9,40.5,42.9,42.8,43.3,43.4,44.4,45.4,44.9,44.9,45.5,48.5,48.7,49.2,48.5,48.4,47,46.5,46.1
Iran,,,,,,,,,,,,,,,,,,,,52.7,,,,49.4,,,,49.1,,,,49.9,,,,,,,49.6,50.6,,,47.8,,,,44.6,45.6,46.4,46.7,47.3,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,38.5,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,44.4,44.5,43.2,,,,41,,,40.8,41.4,41.8,40.7,40.3,39.3,40.7,40.2,40.7,41.1,41.3,40.1,40.2,41.2,,
Israel,,,,,,,,,,,,,42.8,,,,,,,43,,,,,,42.4,,,,,44.3,,,,44.9,,,,46.7,,46.1,,,47.2,,46,,44.8,,44.2,,
Italy,,,,,,,,,,,,,,,,,,,,39.9,41.2,,40.3,,39.2,,41.7,,41.4,,,42.7,,41.7,,,41.8,41.3,40.7,40.8,40.1,40.8,40.7,41.4,41.7,41.7,41.4,41,41.4,41.4,42.1,
Jamaica,,,,,,,,,,,,,,,,,,,,,,49.1,,47.9,,,42.8,,,47.5,,,50.7,,,54.2,,51.6,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,40.5,,,41.1,,,,,
