country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jamaica,,,,,,,14.1,3.52,,,,3.49,,3.31,3.47,1.84,3.98,,,,,,,,,,,,,6.93,11.6,13,11.7,11.1,5.24,5.55,,,,,,,,20.2,18.5,18.7,20.1,20.7,17.9,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,15.1,,11.7,11.6,11.7,15.2,11.9,,10.1,,,18.7,,27.7,28.5,,,31.2,30.8,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,0.147,0.382,1.42,0.908,0.818,0.151,0.0575,0.11,0.293,0.261,0.21,0.0471,0.292,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,16,4.73,3.3,1.98,4.5,2.23,0.704,1.83,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,18.4,23.5,27.3,,,,,11.8,11.1,8.04,,,,,,,,,,,,45.6,,23.2,,,,,8.89,6.2,4.43,,3.35,3.59,,,3.78,2.73,,2.79,5.95,7.07,8.71,8,6.28,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.2,8.44,8.06,7.4,,,,,9.08,8.52,7.98,6.03,4.36,3.01,
Lao,,,,,,,,,,,,,,,,,,,,,,,37.5,33.5,30.2,,,24.8,24.4,27,28.9,30,27.6,27.1,26,26.3,26.7,27.5,25.5,23.9,28.6,28.1,25.3,23.1,19.4,18.6,23,22.2,25,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00439,0.245,0.786,0.588,1.23,1.6,1.55,1.86,1.73,1.3,,
Lesotho,,35.9,,30.8,,,,39.3,25.2,26.1,28.6,26.5,25.3,22.1,28.6,24.9,28.4,,,,,26.6,26.4,28.9,27.6,,26.8,,29.1,25.9,27.9,23.6,21.3,16.2,14.4,10.5,10.1,13.1,11.7,10.2,8.19,7.16,8.23,8.72,11.9,15.1,17.4,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,
Libya,,45.4,37.4,28,24.1,14.7,10.1,13.7,12.7,,13.5,12.8,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,4.65,,,,5.34,4.83,5.82,5.28,5.53,,3.37,4.33,4.67,12.6,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.51,0.204,0.129,0.492,0.369,0.0916,0.168,0.0291,0.155,0.189,0.554,0.808,0.24,0.148,0.0124,0.134,0.0887,0.0565,0.00589,,
Luxembourg,,,17.2,19,17.7,18.1,16.9,13.1,12.7,,,,14.9,15.6,13.6,,16.4,15.8,28.7,,,,,,,,,,,6.58,5.34,13.5,14.2,13.6,13.9,4.58,4.5,4.04,3.13,,1.77,2.55,3.32,5,4.35,4.96,5.1,5.75,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,37.3,,,,,,,,,,,,,,,25.1,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,,14.1,,21.1,31.3,28.3,21.3,17.4,20.1,,,,18.2,19.3,19.4,20.7,,17.3,
Malaysia,45.3,41.1,39,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,6.01,7,9.15,11,3.74,3.26,6.88,5.61,8.97,9.75,10.3,11.1,11.6,11.6,10.1,10.6,12.5,13.8,13.1,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,6.68,6.92,10.1,,,,,,,,,,,,,,,,,
Mali,,86.1,85.9,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,51.7,48.9,,49.3,46.1,45.2,45,55,52.8,
Malta,,15.3,10.2,,,,8.32,,,,,,,,,,,,,,0.634,0.442,,,,,,,,,,,,,,,,,,,,,0.985,2.09,1.58,0.291,0.298,0.625,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,,,,,,,,,,,,,30.9,31,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,54.3,,53.7,51.6,53.9,,,,,,28.2,40.7,39.7,,47,44.4,37.5,
Mauritius,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,20.1,16.4,12.1,9.28,12.5,,7.09,,,,,,,,,,,7.07,6.43,4.05,4.57,
Mexico,,,,,,,,,,,,,,,,,15.3,15.6,17.5,26.4,22.2,21.8,,,20.9,18.6,17.3,,,16,16.3,,11.8,8.18,6.81,7.03,5.66,5.23,5.39,5.85,7.15,7.2,6.9,4.33,3.24,2.43,3.39,5.94,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.54,6,5.38,6.16,6.24,6.72,9.15,10.3,11.7,12.5,13.5,13.2,14.3,14.3,14.6,14.5,14.9,15,
Mongolia,,,,,,,,,,,8.7,,,,,,,,,,,,,,,31.3,28.9,31.2,28.6,24.2,21.9,19.4,16.6,8.98,7.21,4.88,7.67,10.2,10.9,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.05,4.39,6.67,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,43,,,33.5,,30.1,30.6,29.2,28,,23.3,19.4,14.4,,,,,11.1,10.7,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,58,58.9,58.9,55.4,,,62.5,58.7,55.4,52.3,39.2,,47.8,42.7,42,38,35.8,35.1,35,37.4,39.4,38.9,41.4,43.1,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,54.3,53.1,52.6,45.5,44.5,41.9,41.6,40,40.7,40,,,,,,,23.7,21,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,14.5,16,16.7,17.7,9.14,16.6,11.6,9.3,7.14,4.9,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,8.37,,11.5,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,5.33,,2.61
Netherlands,,3.82,2.46,3.48,3.64,4.5,3.98,4.24,4.59,5.59,6.74,6.97,4.67,2.52,1.57,2.83,6.04,8.96,11.4,10.2,9.39,6.65,12.7,11.2,,0.0748,0.851,2.37,,0.761,,,1.2,0.114,0.0806,0.425,0.242,1.43,2.41,2.67,2.16,0.825,0.457,,,0.603,0.788,1.86,,
