country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,,,,,
Indonesia,,,,,,,,,,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,26,26.2,27.8,,28.9,,,31.1,32.3,33.7,,34.6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,39.1,,42.5,,44.2,46.3,47,,48.4,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,60.5,,,66.6,66.4,,,,,,70.8,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,76.8,,77.3,77.6,78.5,80.3,80.7,81.2,81.4,,,
Italy,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,35.4,,,,40.5,41.4,43.1,44,44.7,45.5,46.2,47.3,,48.6,49.2,,,
Japan,38.6,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,51.2,41,,41.4,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,,,,,,,,96.3,,85.2,,,,,,,,,97.4
Kenya,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,22,,,,,,,,
Kuwait,,,,,,16.8,,,,,24.9,,,,,31.7,,,31.5,,,,,,,,,,,,,,,,,25.4,25.6,25.6,26.5,,,,32.7,28.3,,29.9,,30.6,31.2
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,88.4,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1,80.1,79.8,81,82.2,84.1,85.6,85.1,86.3,87.2,87.8,88.6,89.4,,90.3
Lebanon,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,
Liberia,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,,,,,,,,,,,,,,,,,,
