country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mauritius,73.9,73.5,67.7,68.4,73.3,,,,63.1,61.2,59.2,58.1,57.2,56.8,56.8,57.9,59.6,58.2,58.9,57.1,56.6,
Mexico,,15.1,16,16.3,16,15.5,15.5,15,15,15.2,15.5,13.8,13.6,13.3,13.4,13.1,13.8,13.2,13.2,13.1,,
Moldova,,,,,1.37,1.34,1.5,1.36,1.21,1.11,1.12,1.25,1.27,1.26,1.25,1.33,1.39,1.54,1.65,1.69,1.77,
Monaco,,23.4,24,24.7,,,22.7,,,,22.3,21.3,21.7,22.3,23.4,23.6,23.2,29.9,31.6,32.1,32.3,32.6
Mongolia,,0.128,0.291,1.35,1.64,2.22,2.85,3.66,,,,6.79,7.2,,,,,,,,,
Montenegro,,,,,,,,,,,,0.188,0.192,,0.206,,,0.134,0.137,0.186,0.326,
Morocco,,4.82,4.98,5,,4.62,4.75,,,,,,,,,,,,,9.94,10.3,
Mozambique,,,,,,,,14.7,13.6,13,11.4,11.9,11.9,12.7,12.5,9.56,9.48,10.6,,13.3,,
Myanmar,,,,,,,,,,,,,,,,,1.27,,4.42,4.94,5.58,
Namibia,4.53,4.42,4.25,3.95,4.43,,6.11,4.7,4.86,4.92,,,,,,,,,,,,
Nauru,,,,,19,,,,,,,,,,,,,,,,,
Nepal,,,,15.9,16.6,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,3.32,3.43,,,5.91,5.38,7.18,,
New Zealand,9.04,9.75,10.2,11.3,10.1,9.99,19.8,21.7,21.2,20.3,20.5,22.9,19.5,10.9,10.2,9.95,10,9.71,9.21,9.08,,
Nicaragua,,32.1,30.5,34.5,29.1,,28.3,27.2,26.2,23.7,23.3,,21.8,,,,,,,,,
Niger,,16.4,,,15.9,14.9,11.5,10.9,10.4,14.8,,20,,,19.4,19.1,18.6,18.4,15.8,14.8,,
Nigeria,,,,,,,,,11.8,13.7,12.9,20,21.5,24.2,18.7,18.7,22.6,22.3,19,,,
North Macedonia,0,,,,0.451,0.507,0.496,0.601,,0.628,0.497,0.585,1.08,,1.06,0.944,0.963,1.29,,0,,
Norway,6.4,6.72,7.07,7.16,6.81,6.41,6.59,6.62,,,6.7,6.64,7.9,8.17,6.9,7.72,7.07,7.02,7.21,7.27,,
Oman,,0.854,0.9,0.903,0.913,0.967,,,,,,7.54,,6.98,8.99,10.1,,11.1,11.4,11.5,13.1,
Pakistan,,,,,,24.5,25.8,26.4,32.4,31.4,31.4,31.7,31.3,30.9,31.1,31.1,34.7,35.8,35.4,32.1,32.5,
Palau,,27.2,29.1,,,,27.6,,,28.2,,,,,,,,,,,,
Palestine,,4.66,4.56,4.81,4.28,4.11,4.29,4.31,4.45,4.61,4.93,5.11,5.45,5.69,6.16,6.47,6.72,6.98,7.12,7.29,7.11,
Panama,,16.3,15.7,14.9,14.5,,14.8,15.1,15.5,15.7,15.7,18,16.4,16.2,,16.5,16.1,16.4,16.1,,,
Papua New Guinea,2.42,,,,,,,,,,,,,,0.539,,,,,,,
Paraguay,29.3,29.4,27.6,26.3,25.6,19.9,20.1,21.1,20.4,,21.5,21.6,21.6,21.6,21.8,,,,21,,,
Peru,,16,16.9,17.2,17.3,16.8,,24.2,22.3,22.7,22.9,24.1,24.1,25.7,,30,30.1,29.9,29.5,29.2,27,
Philippines,28,26.3,,22.7,21.5,20.5,19.7,19.9,20.4,20.3,20.5,19.8,,,,,19.4,18.5,18.1,22.2,,
Poland,,,,5,5.42,5.62,2.34,2.46,2.77,3.1,3.52,3.88,4.15,4.34,4.58,11.5,11.2,11.1,11,11.2,,
Portugal,,11.8,12.4,13.6,14.2,14.7,15.1,15,15.5,15.7,16,15.9,16.1,16.3,16.6,16.8,16.5,16.6,17.6,17.6,,
Qatar,,26.2,,28.8,30.4,31.7,32.3,32.2,33.4,34.2,37.8,38.4,38.6,39.6,41.2,42.8,44,45.9,47.7,48.2,49.2,
Romania,,0.627,0.509,0.54,0.599,0.604,0.646,0.531,0.711,0.998,1.22,1.6,1.84,1.82,1.63,1.3,1.2,1.1,1.07,1.16,,
Russia,,,,,,0.415,0.48,0.506,0.619,0.638,0.674,0.712,,0.763,0.897,1.01,1.18,1.25,1.27,1.29,,
Rwanda,,42.5,43.7,43.5,43.6,46.5,,,,41.1,37.1,31.9,24.2,20.6,19,18,12.8,16.5,15.5,13.6,12.4,
Samoa,29.9,31.9,31.8,31.7,,,32.1,32.5,,,,,,32.5,33,,33.8,32.5,30.9,,,
Sao Tome and Principe,0,,0,0,,0,0,0,0,0,0,1.75,0,2.64,2.61,3.82,,1.15,1.31,4.72,,
Saudi Arabia,,,,,,,,8.39,,11.4,,,,,,,,12.7,13,12.4,11.8,
Senegal,,,26.3,25.1,24.1,,26.2,23.5,,,19.8,,21,,,,,,,22.2,21.9,
Serbia,,,,,,,,0.105,0.175,0.214,0.241,0.52,0.469,0.769,0.492,0.426,0.413,0.469,0.536,0.628,0.766,
Seychelles,2.82,3.02,2.77,3.33,3.71,3.88,,,,5.92,,,6.74,8,7.52,9.22,9.84,10.9,11.9,12.3,12.9,
Sierra Leone,,,,1.86,,,,,,,,,,10.8,8.49,6.97,,7.66,9.28,10.1,,
Singapore,,,,,,,,,,5.89,5.96,6.37,,,,,,,4.23,4.98,,
Slovak Republic,5.16,5.34,5.51,5.59,5.79,6.38,6.4,7.66,8.2,8.48,8.87,9.28,9.62,9.81,10.2,10.6,10.8,10.9,11.2,11.5,,
Slovenia,,0.752,0.886,2.07,2.34,2.36,1.12,1.16,1.19,1.38,1.43,1.46,1.48,1.49,1.53,2.45,2.14,2.34,4.19,4.12,,
Solomon Islands,,,,,,,,,25.8,26.9,,,34,31,29.8,,,,,,,
South Africa,,2.33,2.3,2.38,2.54,2.57,2.6,2.84,3.02,2.94,3,3.24,3.68,3.9,4.11,,4.19,,4.65,4.22,,
South Korea,41.4,40.8,39.6,38.4,37,35.9,34.3,33.3,32.4,32.2,31.9,31.9,31.7,31.5,31.4,31.1,31,31.2,31.5,31.3,,
