country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Dem. Rep.",0.709,0.709,0.707,0.707,0.707,0.707,0.707,0.72,0.72,0.719,0.719,0.719,0.767,0.767,0.767,0.767,0.767,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838,0.838,0.838,0.838,0.838,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.815
"Congo, Rep.",0.81,0.81,0,0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.811,0.811,0.811,0.892,0.892,0.892,0.892,0.892,0,0,0,0,0,0.815,0.815,0.815,0.815,0.815,0.811,0.811,0.812,0.812,0.812,0.832,0.832,0.832,0.832,0.832,0.826,0.826
Costa Rica,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.962,0.962,0.962,0.962,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.964,0.964,0.964,0.964,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.941,0.941,0.941,0.941,0.945,0.945,0.945,0.945,0.943,0.943,0.943,0.943,0.968
Cote d'Ivoire,0.763,0.763,0.763,0.763,0.763,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.754,0.754,0.754,0.754,0.754,0.791,0.791,0.791,0.791,0.791,0.856,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.86,0.86,0.86,0.86,0.86,0.904,0.904,0.904,0.904
Croatia,,,,,,,,,,,,,,,,,0,0.863,0.863,0.863,0.876,0.876,0.889,0.889,0.889,0.904,0.904,0.904,0.919,0.919,0.932,0.932,0.932,0.932,0.934,0.934,0.934,0.934,0.934,0.947,0.944,0.944,0.944,0.944
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0.921,0.921,0.921,0.921,0.92,0.92,0.92,0.92,0.92,0.921,0.921,0.921,0.921,0.921,0.883,0.883,0.883,0.883,0.883,0.911,0.911,0.911,0.911,0.911,0.912
Cyprus,0.857,0.886,0.886,0.886,0.886,0.886,0.933,0.933,0.933,0.933,0.934,0.934,0.934,0.932,0.932,0.932,0.932,0.932,0.933,0.933,0.933,0.934,0.934,0.932,0.932,0.932,0.932,0.932,0.933,0.933,0.933,0.945,0.945,0.945,0.945,0.945,0.946,0.946,0.943,0.943,0.943,0.943,0.943,0.926
Czech Republic,0.927,0.927,0.927,0.927,0.927,0.927,0.926,0.926,0.926,0.926,0.926,0.927,0.927,0.927,0.927,0.954,0.954,0.956,0.956,0.956,0.956,0.954,0.954,0.954,0.954,0.954,0.954,0.956,0.956,0.956,0.956,0.953,0.953,0.953,0.953,0.955,0.955,0.955,0.946,0.946,0.946,0.946,0.957,0.956
Denmark,0.947,0.947,0.948,0.948,0.949,0.949,0.947,0.947,0.947,0.949,0.949,0.949,0.947,0.947,0.947,0.948,0.948,0.948,0.948,0.951,0.951,0.951,0.951,0.949,0.949,0.949,0.951,0.951,0.951,0.951,0.964,0.964,0.963,0.963,0.963,0.963,0.971,0.971,0.971,0.971,0.961,0.961,0.961,0.961
Dominican Republic,0.868,0.868,0.868,0.86,0.86,0.86,0.86,0.878,0.878,0.878,0.878,0.877,0.877,0.877,0.877,0.801,0.801,0.801,0.801,0.848,0.848,0.935,0.935,0.92,0.92,0.969,0.969,0.961,0.961,0.935,0.935,0.94,0.94,0.945,0.945,0.941,0.941,0.925,0.925,0.925,0.925,0.895,0.895,0.895
Ecuador,0,0,0,0.788,0.922,0.922,0.922,0.922,0.922,0.92,0.92,0.922,0.922,0.927,0.927,0.926,0.926,0.927,0.927,0.925,0.925,0.925,0.925,0.93,0.93,0.93,0.93,0.931,0.931,0.931,0.931,0.929,0.929,0.929,0.927,0.927,0.927,0.927,0.936,0.936,0.936,0.936,0.895,0.895
Egypt,0.806,0.795,0.795,0.795,0.795,0,0.796,0.796,0.796,0.795,0.795,0.795,0.796,0.796,0.796,0.795,0.795,0.795,0.795,0.795,0.796,0.796,0.796,0.796,0.796,0.802,0.802,0.802,0.802,0.802,0.822,0.822,0.822,0.822,0.822,0.837,0.84,0.86,0.86,0.842,0.844,0.844,0.844,0.845
El Salvador,0.767,0.767,0.767,0.766,0.766,0,0,0.755,0,0.74,0.753,0.753,0.753,0.782,0.782,0.782,0.771,0.771,0.771,0.829,0.829,0.829,0.832,0.832,0.834,0.834,0.834,0.834,0.836,0.836,0.836,0.842,0.842,0.842,0.85,0.85,0.85,0.858,0.858,0.885,0.884,0.884,0.884,0.881
Equatorial Guinea,0,0,0,0,0,0,0,0.105,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.769,0.769,0.769,0.77,0.77,0.77,0.769,0.769,0.769,0.768,0.768,0.77,0.77,0.77,0.77,0.774,0.774,0.774,0.774,0.774,0.796,0.796,0.796,0.796,0.796,0.796
Eritrea,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,,,,,,,,,,,,,,,,,0.878,0.962,0.962,0.962,0.965,0.965,0.965,0.965,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.971,0.971,0.971,0.971,0.973,0.973,0.973,0.973,0.971,0.971,0.971,0.971
Eswatini,0,0,0,0.931,0.931,0.931,0.931,0.931,0.858,0.858,0.858,0.858,0.859,0.859,0.859,0.859,0.859,0.859,0.831,0.831,0.831,0.831,0.831,0.856,0.856,0.856,0.856,0.856,0.831,0.831,0.831,0.831,0.831,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.887
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.809,0.798,0.798,0.798,0.798,0.798,0.792,0.792,0.792,0.792,0.792,0.825,0.825,0.825,0.825,0.825,0.803,0.803,0.803,0.803,0.803,0.809,0.809,0.809,0.809
Finland,0.947,0.947,0.947,0.945,0.946,0.946,0.946,0.945,0.946,0.946,0.946,0.946,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.946,0.946,0.946,0.946,0.946,0.944,0.944,0.944,0.944,0.946,0.946,0.946,0.954,0.953,0.953,0.953,0.953,0.958,0.958,0.958,0.958,0.95,0.95,0.95,0.949
France,0.96,0.96,0.96,0.959,0.959,0.959,0.962,0.962,0.962,0.962,0.962,0.96,0.96,0.958,0.958,0.958,0.958,0.958,0.957,0.957,0.958,0.958,0.96,0.96,0.96,0.96,0.96,0.961,0.961,0.961,0.961,0.961,0.956,0.956,0.956,0.956,0.956,1,1,1,1,1,0.963,0.963
Gabon,0.813,0.813,0.813,0.813,0.813,0.805,0.805,0.805,0.805,0.805,0.808,0.808,0.808,0.808,0.808,0.851,0.851,0.851,0.862,0.862,0.862,0.861,0.861,0.859,0.859,0.859,0.861,0.861,0.861,0.861,0.853,0.853,0.853,0.853,0.853,0.853,0.85,0.85,0.85,0.85,0.85,0.855,0.855,0.84
