country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,10.3,4.45,4.65,,,,,10.6,15.1,15,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,0.548,,,,,,,11,,
Latvia,,,,,,,,,19.8,17.6,21.1,21.9,22.7,20.7,18.3,16.3,14.6,10.6,14.4,30.9,33,29.1,26.5,25.1,23.8,21.9,20.6,18.5,16.1,13.7
Lebanon,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,2.46,,17.3,,1.81,1.81,2.77,,,
Lithuania,,,,,,,,14.7,18.7,19,23,23,18.1,21.4,13.9,14.3,10.3,7.19,12.5,29.5,39.4,37.7,33.9,32.4,29.5,26.1,24.4,20.2,17.1,18.1
Luxembourg,,,,,,,,,,4.09,3.66,2.52,4.65,4.11,7.48,6.74,6.94,6.32,7.18,8.11,6.11,8.32,8.4,10.2,10.1,10.6,9.91,8.82,8.37,8.8
Madagascar,,,,,,,,,,,,,,17.7,,9.08,,,,,,,0.425,,,1.14,,,,
Malawi,,,,,,,,,,,,,,,,0.675,,,,,,,,6,,,,29.6,,
Malaysia,,,,,,,,,,,,,,,,,,,0.47,2.9,2.37,,,,,1.9,2.07,,,
Maldives,,,,,,,,,,,,,,,,,,,,7.74,,,,,,,9.42,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,11.4,7.16,12.2,2.12,11.4,2.15,
Malta,,,,,,,,,,,7.21,7.94,7.84,8.25,9.18,9.02,8.99,8.32,8.2,9.01,9.56,9.02,9.49,9.47,9.03,8.68,7.42,6.12,5.3,4.59
Mauritania,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,15.8,,
Mauritius,,,,,,,,,,,,8.66,7.57,5.57,7.5,9.54,9,7.94,6.85,7.07,7.36,,6.51,6.67,6.43,5.73,4.83,4.17,3.87,
Mexico,,,,,,8.34,4.85,5.22,,2.66,2.81,5.7,3.15,3.53,4.02,3.71,3.71,3.77,4.1,5.76,5.58,5.41,5.01,5.03,4.78,4.21,3.6,3.19,3.02,3.22
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,9.61,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,8.54,7.47,6.01,5.29,4.15,3.78,4.28,4.17,5.18,6.86
Mongolia,,,,,,,,,,,,,,,,,,,5,3.48,5.33,4.21,3.37,3.2,3.74,3.09,4.01,3.15,2.95,8.86
Montenegro,,,,,,,,,,,,,,,,,,,,,,30.2,34.6,41.4,32.2,27.2,23.9,22.3,20.3,25.7
Morocco,,,,,,19,,,,,,,12.2,14.5,,,,,,,,10.1,10.3,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.737,,1.14,0.581,0.283
Namibia,,,,,,,,,,,,,,,,,,,,,,,20.1,23,22.4,,29,,17.5,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,10.4,,
Netherlands,,,,,,14.7,,,7.45,6.25,4.44,3.02,3.65,5.72,7.11,8.73,7.66,6.58,5.82,6.78,8.05,7.73,9.31,11.2,11.9,11,9.74,8.22,6.44,5.73
New Zealand,,,,,,0.29,,0.46,,7.76,9.01,8.49,9.01,,,,6.21,6.53,,10.2,10.3,10.2,10.2,9.44,,,,,,
Nicaragua,,,,,,7.38,,,,,,,,,,,,,,,,,5.5,,4.66,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,0.905,,,1.55,,,8.09,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,8.45
North Macedonia,,,,,,,,,,,,,,,,,41,42.4,40.8,38.4,38.7,37.1,37.5,33.8,31.6,29.4,28.8,26.4,23.3,22.7
Norway,,,,,,,,,6.79,5.58,6.57,6.95,7.98,7.79,7.4,9.81,6.39,5.16,5.9,6.49,7.29,6.9,6.2,7.65,7.55,9.17,9.63,9.37,8.3,7.99
Oman,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,8.09,,6.83,,0.596,0.454,0.307,0.557,0.654,0.76,,2.53,1.45,2.2,,,3.86,
Palau,,,,,,,,,,,6.49,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,11.6,25.5,33.1,26.1,26.7,21.3,21.1,20,25,22.1,22.9,17.5,18.3,19.4,20,21.6,21.5,22.4,24,22.5
Panama,,,,,,,,,,,,,,12.4,11.2,8.53,7.99,5.62,4.9,,3.39,2.32,2.29,1.97,2.84,2.96,3.1,3.68,3.21,4.26
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,
Paraguay,,,,,,,,,,,,,10.3,7.64,6.89,5.37,5.94,5.15,4.84,5.37,4.75,4.61,3.75,4.68,4.7,5.2,5.08,4.99,,
Peru,,,,,,,3.96,1.74,1.71,1.57,1.34,1.83,5.2,4.8,4.02,4.53,4.36,3.55,3,3.23,2.68,2.77,2.47,2.46,2.22,2.24,2.86,2.71,2.08,2.59
Philippines,,,,,,,,,,,,,,,7.43,,7.35,6.89,6.46,6.29,6.21,5.87,6.35,,5.36,5.27,4.46,,,
Poland,,,,,15.4,14.8,13.8,,13.3,17,21.5,23.9,26.1,26.4,28.6,27.1,22.3,15.6,12,14.5,17.3,18.1,19.3,20.3,18.8,16.8,14.4,11.9,9.85,8.26
Portugal,,,,,,,,,4.71,4.52,3.8,4.1,4.72,6.46,6.97,8.03,7.92,8.28,7.84,10.3,11.7,13.7,16.1,17,15,13.2,11.8,9.5,7.14,6.63
Qatar,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,
Romania,,,,,,5.96,5.36,,3.09,3.59,3.91,4.03,5.88,5.87,8.15,6.54,7.39,6.82,6.79,7.35,5.75,7.05,6.6,6.58,6.49,7.92,7.43,6.57,5.56,5.87
Russia,,,,,,,,,19.2,,,,14.6,14,16,,15.2,13.2,14.9,18,16.6,16.4,13.7,13.7,13.3,13.8,14,13.5,12.7,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,0.899,,,16.6,14.2,
Samoa,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,14.6,,
San Marino,,,,,,,,,,,,,,,,,,,,3.73,3.55,,,,,,4.46,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,2.58,,,,,1.17,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,
Serbia,,,,,,,,,,,,,,,,,,,15.3,19.5,22.9,26.8,27.4,24.4,18.3,15.1,12.4,11.1,12.3,10.6
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,4.36,3.44,1.15,2.3,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
Singapore,,,,,2.92,3.3,3.34,3.71,5.09,,,6.06,8.93,9.1,,,11.7,9.63,10.1,4.99,3.55,6.92,6.65,2.53,,3.49,,3.53,,
Slovak Republic,,,,,17.4,18.5,,51.2,28.6,34.1,40.4,42.4,46,47,52,53.2,48.1,44.8,39.2,41.5,44.2,42.3,44.5,42.3,41.1,37.7,31.6,29.8,29.8,30.9
Slovenia,,,,,,,,,9.27,9.87,10.6,8.92,8.55,10.3,9.24,9.33,7.61,6.54,5.9,8.4,11,13,14.4,17.4,14.9,13.7,14.3,10.9,8.41,9.33
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,0.523,,,,,,
South Africa,,,,,,,,,,,33.2,34.2,38.4,37.2,33.7,33.4,32.7,31.6,28.3,29.4,30.6,31,,31.2,31.7,31.5,32.7,33.3,32.7,34.9
South Korea,,2.61,2.73,3.21,2.95,2.57,2.45,3.27,12.7,11.2,,,,,,,,,,,,,,,,2.43,2.44,2.61,2.99,3.44
