country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malawi,,,,,,,,,,,,,0.653,,,,,,,0.524,,,,,,0.507,,,,,,0.515,,,
Malaysia,,,,,,,,,,,,,,,,,,0.051,,0.057,,0.036,,0.038,,,0.017,,0.006,,0.004,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,,,
Mali,,,,,,,,,,,,,,,,,0.509,,,,,0.417,,,0.411,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,0.51,,,,0.467,,,,0.42,,,,,,0.31,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,0.103,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436,,0.419,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,0.299,,,,,,,,0.412,,,,,,
Moldova,,,,,,,,,,,,,,,,,0.546,0.404,0.29,0.265,,0.302,0.258,0.264,0.263,0.219,0.175,0.166,0.127,0.114,0.096,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,0.337,0.274,,0.216,,0.296,,0.284,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,0.241,0.244,0.24,0.236,,,
Morocco,,,,,,,,,,,,,,0.163,,0.153,,,,,,,0.089,,,,,,0.048,,,,,,
Mozambique,,,,,,,,,,,,0.694,,,,,,0.541,,,,,,0.547,,,,,,0.461,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,0.482,,,,,0.422,,,,,0.321,,0.248,,
Namibia,,,,,,,,,0.693,,,,,,,,,,0.377,,,,,,0.287,,,,,,0.174,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,0.458,,,,0.483,,,,0.425,,,,,0.296,,0.249,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,,0.445,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,0.484,,,,,,0.46,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.268,0.262,0.242,0.221,0.215,0.219,0.222,0.219,
Pakistan,,,,,,,,,,,,,,0.579,,,0.643,,,0.517,0.504,,0.441,,,0.368,0.363,,0.295,,0.243,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,0.249,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,0.259,0.243,0.24,0.312,0.226,0.226,0.257,0.258,,,,,0.292,,,
Panama,,,,,,,,,,,,,,,,0.379,,,,,0.366,0.383,0.365,0.338,0.334,0.298,0.276,0.265,0.258,0.256,0.23,0.221,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.399,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,0.577,0.514,0.488,0.449,0.489,0.453,0.432,0.416,0.39,0.37,0.314,0.28,0.272,0.266,0.289,0.264,0.242,
Peru,,,,,,,,,,,,,,,,,,,,0.587,0.556,0.492,0.424,0.373,0.335,0.308,0.278,0.258,0.239,0.227,0.218,0.207,0.217,0.205,
Philippines,,,,,,,,,,,,,,,,,,,0.249,,,0.266,,,0.263,,,0.252,,,0.216,,,,
Poland,,,,,,,,,,,,,,,,,,,,0.205,0.191,0.173,0.169,0.171,0.176,0.177,0.171,0.173,0.17,0.176,0.173,0.15,0.148,0.154,
Romania,,,,,,,,,,,,,,,,,,,,,,0.246,0.236,0.221,0.216,0.223,0.229,0.23,0.251,0.254,0.253,0.236,0.236,,
Russia,,,,,,,,,,,,,,,,0.29,,0.246,0.203,0.176,0.178,0.152,0.133,0.134,0.13,0.125,0.127,0.107,0.108,0.112,0.133,0.133,0.132,0.129,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,,,0.382,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,0.203,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,0.683,,,,,,,,,,0.662,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,0.552,,,,0.483,,,,,,0.467,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.25,0.267,0.259,0.257,0.243,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,0.664,,,,,,,,0.529,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,0.133,0.116,0.106,0.109,0.11,0.12,0.13,0.132,0.128,0.126,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,0.122,0.116,0.115,0.123,0.113,0.127,0.136,0.135,0.145,0.145,0.143,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,0.227,,,,,,,,0.127,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,0.666,,,0.621,,0.532,,,,0.555,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,0.506,,,0.501,,0.551,0.656,0.823,,,
Sri Lanka,,,,,,,,,,,,,,,,,,0.227,,,,0.152,,,0.089,,,0.067,,,,0.041,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,0.301,,,0.352,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343,0.32,0.313,0.303,0.295,0.274,
Tanzania,,,,,,,,,,,,,,,,0.356,,,,,,,0.344,,,,0.282,,,,,,,0.264,
