country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042,0.006,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0348,0.0546,0.0352,0.0437,0.0534,0.0355,0.0326,0.0311,0.0325,0.0432,0.0473,0.0486,0.0967,0.124,0.163,0.156,0.115,0.0784
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0391,0.0355,0.0292,0.0362,0.0383,0.0378,0.0486,0.0526,0.0445,0.0389,0.0443,0.0543,0.0516,0.0532,0.0464,0.0388,0.0566,0.065,0.0581,0.0583,0.0581,0.0493,0.0438,0.0382,0.024
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0619,0.0506,0.0593,0.05,0.0587,0.0592,0.0714,0.0612,0.0861,0.0856,0.0882,0.0647,0.0802,0.0611,0.0506,0.0508,0.0424,0.0404,0.0397,0.0468,0.039,0.0563,0.0517,0.0389,0.0342,0.0261,0.0413,0.0545,0.0575,0.0548,0.0514,0.0481,0.0436,0.0403,0.0372
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0766,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0221,0.0229,0.0118
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0441,0.0549,0.0562,,0.0218,0.0149,,0.0369,0.0265,0.00793,0.0129,0.0107,0.0169,0.0151,0.0161,0.00795,0.0101,0.0111,0.0122,0.0117,0.0184,0.0131
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00128,0.00482,0.00286,0.0205,0.00352,0.0061,0.0101,0.00608,0.0112,0.0033
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0423,0.0516,0.0429,,,,,,,,0.0496,0.0587,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00211,0.0062,0.0207,0.0348,0.0516,0.0624,0.0624,0.0555,0.0535,0.0609,0.0856,0.0923,0.102,0.074,0.0458,0.0543,0.0414,0.0356,0.0408,0.0934,0.163,0.116,0.0716,0.0605,0.0544,0.0604,0.0805,0.0573
